,link_photo,name,brand,type
1,https://media.auchan.fr/MEDIASTEP80202553_230x230/B2CD/,"Bière blonde 11,8% boîte",BELZEBUTH,
2,https://media.auchan.fr/MEDIASTEP157309628_230x230/B2CD/,Bière blonde bio 7.2% bouteilles,LA GOUDALE,
3,https://media.auchan.fr/MEDIASTEP66806491_230x230/B2CD/,Bière blonde triple 8% bouteille,SECRET DES MOINES,
4,https://media.auchan.fr/MEDIASTEP137932992_230x230/B2CD/,"Bière brassin de Noël 6,5% bouteilles",GRIMBERGEN,
5,https://media.auchan.fr/MEDIASTEP157260428_230x230/B2CD/,Bière blonde triple signature 8.5%,CH'TI,
6,https://media.auchan.fr/MEDIASTEP110225502_230x230/B2CD/,Bière ambrée corse à la châtaigne 6% bouteilles,PIETRA,
7,https://media.auchan.fr/MEDIASTEP137800900_230x230/B2CD/,"Bière blonde extra 6,5%",BELLEROSE,
8,https://media.auchan.fr/MEDIASTEP73300352_230x230/B2CD/,"Bière blonde french IPA artisanale de Lyon 5,4%",NINKASI,
9,https://media.auchan.fr/MEDIASTEP67118556_230x230/B2CD/,"Bière blanche pink à la framboise 2,8% bouteille",BELZEBUTH,
10,https://media.auchan.fr/MEDIASTEP137275482_230x230/B2CD/,"Bière de garde ambrée 7,5%",JENLAIN,
11,https://media.auchan.fr/MEDIASTEP57431855_230x230/B2CD/,"Bière blonde à l'ancienne 7,2% bouteille",LA GOUDALE,
12,https://media.auchan.fr/MEDIASTEP153556843_230x230/B2CD/,Bière blonde Rimshot 4.6% bouteille,MIRA,
13,https://media.auchan.fr/MEDIASTEP106850752_230x230/B2CD/,"Bière blonde 8,5% bouteilles",DUVEL,
14,https://media.auchan.fr/MEDIASTEP81299753_230x230/B2CD/,Bière rouge Slash aromatisée à la cerise 8% bouteilles,LICORNE,
15,https://media.auchan.fr/MEDIASTEP132248301_230x230/B2CD/,"Bière IPA 6,2% bouteilles",METEOR,
16,https://media.auchan.fr/MEDIASTEP133366394_230x230/B2CD/,"Bière brune 4,2% boîte",GUINNESS,
17,https://media.auchan.fr/MEDIASTEP72430287_230x230/B2CD/,"Bière des Flandres saison 2 houblons 6,5%",3 MONTS,
18,https://media.auchan.fr/MEDIASTEP59894703_230x230/B2CD/,Bière blonde 12% bouteille,LA BIERE DU DEMON,
19,https://media.auchan.fr/MEDIASTEP100836450_230x230/B2CD/,Bière blonde triple artisanale du Nord 9%,DUCASSE,
20,https://media.auchan.fr/MEDIASTEP167500549_230x230/B2CD/,Bière ambrée 10.5%,PIRAAT,
21,https://media.auchan.fr/MEDIASTEP79984826_230x230/B2CD/,Bière de garde blonde 6.8%,JENLAIN,
22,https://media.auchan.fr/MEDIASTEP57431482_230x230/B2CD/,Bière blonde triple 8%,SECRET DES MOINES,
23,https://media.auchan.fr/MEDIASTEP66226237_230x230/B2CD/,"Bière de Noël ambrée 6,6% bouteilles",LEFFE,
24,https://media.auchan.fr/MEDIASTEP68465386_230x230/B2CD/,Bière blonde 3 houblons d'Alsace 6%,FISCHER,
25,https://media.auchan.fr/MEDIASTEP57431964_230x230/B2CD/,"Bière blonde aromatisée fruits rouge 8,5% bouteille",BELZEBUTH,
26,https://media.auchan.fr/MEDIASTEP84270189_230x230/B2CD/,"Bière ambrée de garde 5,9%",CH'TI,
27,https://media.auchan.fr/MEDIASTEP63506099_230x230/B2CD/,"Bière blonde triple 8,4%",KARMELIET,
28,https://media.auchan.fr/MEDIASTEP156797639_230x230/B2CD/,"Bière blonde belge 8,5%",DUVEL,
29,https://media.auchan.fr/MEDIASTEP159956493_230x230/B2CD/,Bière blonde triple grande réserve 9.5% bouteilles,3 MONTS,
30,https://media.auchan.fr/MEDIASTEP61544067_230x230/B2CD/,Bière blonde artisanale du pays Flamand 8%,ANOSTEKE,
31,https://media.auchan.fr/MEDIASTEP165604849_230x230/B2CD/,Bière brassin d'hiver 8.5%,3 MONTS,
32,https://media.auchan.fr/MEDIASTEP61854824_230x230/B2CD/,"Bière dorelei d'alsace ambrée aromatisée 6,3%",FISCHER,
33,https://media.auchan.fr/MEDIASTEP84637021_230x230/B2CD/,"Bière blanche artisanale de Lyon 4,8%",NINKASI,
34,https://media.auchan.fr/MEDIASTEP171687958_230x230/B2CD/,"Bière blonde 5,8%",BRASSERIE MONT BLANC,
35,https://media.auchan.fr/MEDIASTEP106850726_230x230/B2CD/,Bière blonde belge 8% bouteille,LA CHOUFFE,
36,https://media.auchan.fr/MEDIASTEP67118555_230x230/B2CD/,"Bière blonde triple 8,5% bouteille",BELZEBUTH,
37,https://media.auchan.fr/MEDIASTEP105961261_230x230/B2CD/,"Bière blonde triple des Flandres grande réserve 9,5%",3 MONTS,
38,https://media.auchan.fr/MEDIASTEP73875523_230x230/B2CD/,Bière blonde forte 9%,BIERE DU CORBEAU,
39,https://media.auchan.fr/MEDIASTEP155674802_230x230/B2CD/,"Bière blanche 4,7%",BRASSERIE MONT BLANC,
40,https://media.auchan.fr/MEDIASTEP65628311_230x230/B2CD/,"Bière blonde Cristal 4,7%",BRASSERIE MONT BLANC,
41,https://media.auchan.fr/MEDIASTEP81422584_230x230/B2CD/,"Bière cuivrée malts spéciaux 6,5%",3 MONTS,
42,https://media.auchan.fr/MEDIASTEP159956438_230x230/B2CD/,Bière blonde belge bouteille 8.5%,DUVEL,
43,https://media.auchan.fr/MEDIASTEP57471437_230x230/B2CD/,"Bière blanche Olympic white 4,2% bouteille",MIRA,
44,https://media.auchan.fr/MEDIASTEP63425328_230x230/B2CD/,Bière Ruby aromatisée fruits rouges 5%,LEFFE,
45,https://media.auchan.fr/MEDIASTEP80601873_230x230/B2CD/,Bière ambrée corse à la châtaigne 6% boîte,PIETRA,
46,https://media.auchan.fr/MEDIASTEP106850725_230x230/B2CD/,"Bière blonde belge de fermentation haute 8,5%",HAPKIN,
47,https://media.auchan.fr/MEDIASTEP138139766_230x230/B2CD/,Bière blonde tradition d'Alsace 6% verre non consigné,FISCHER,
48,https://media.auchan.fr/MEDIASTEP79984825_230x230/B2CD/,"Bière de garde blonde 6,8% boîte",JENLAIN,
49,https://media.auchan.fr/MEDIASTEP136829739_230x230/B2CD/,"Bière blonde de garde 6,4%",CH'TI,
50,https://media.auchan.fr/MEDIASTEP84637023_230x230/B2CD/,"Bière blonde triple artisanale de Lyon 8,4%",NINKASI,
51,https://media.auchan.fr/MEDIASTEP106850727_230x230/B2CD/,Bière blonde belge 8%,LA CHOUFFE,
52,https://media.auchan.fr/MEDIASTEP158718299_230x230/B2CD/,Bière rouge Slash aromatisée à la cerise 8%,SLASH,
53,https://media.auchan.fr/MEDIASTEP159956314_230x230/B2CD/,Bière belge blonde 8.5%,VICTORIA,
54,https://media.auchan.fr/MEDIASTEP57431494_230x230/B2CD/,"Bière blonde 6,6%",LEFFE,
55,https://media.auchan.fr/MEDIASTEP158716989_230x230/B2CD/,Bière blonde origin 7.5%,SLASH,
56,https://media.auchan.fr/MEDIASTEP65257449_230x230/B2CD/,"Coffret bière blonde triple 8,4% bouteilles",KARMELIET,
57,https://media.auchan.fr/MEDIASTEP82205166_230x230/B2CD/,Bière blonde rituel 9%,LEFFE,
58,https://media.auchan.fr/MEDIASTEP77419411_230x230/B2CD/,"Bière belge artisanale aromatisée framboise 2,5% bouteille",LINDEMANS,
59,https://media.auchan.fr/MEDIASTEP161958801_230x230/B2CD/,Bière blanche 6%,GRIMBERGEN,
60,https://media.auchan.fr/MEDIASTEP155674664_230x230/B2CD/,"Bière rousse 6,5%",BRASSERIE MONT BLANC,
61,https://media.auchan.fr/MEDIASTEP137869074_230x230/B2CD/,Calendrier bières de l'avent,PÈRE BRASSEUR,
62,https://media.auchan.fr/MEDIASTEP137801934_230x230/B2CD/,"Bière blonde forte 8,5% bouteille",DELIRIUM,
63,https://media.auchan.fr/MEDIASTEP84637022_230x230/B2CD/,Bière blonde artisanale de Lyon 4%,NINKASI,
64,https://media.auchan.fr/MEDIASTEP89226334_230x230/B2CD/,Bière black 6% bouteilles,LICORNE,
65,https://media.auchan.fr/MEDIASTEP58648473_230x230/B2CD/,"Bière blonde IPA 7,2% bouteille",LA GOUDALE,
66,https://media.auchan.fr/MEDIASTEP135717953_230x230/B2CD/,"Bière brune comme à la pression boîte 4,2%",GUINNESS,
67,https://media.auchan.fr/MEDIASTEP105961531_230x230/B2CD/,"Bière blanche 4,5% bouteille",BLANCHE DE NAMUR,
68,https://media.auchan.fr/MEDIASTEP67374992_230x230/B2CD/,"Blanc Bière aromatisée au génépi 5,9%",BRASSERIE MONT BLANC,
69,https://media.auchan.fr/MEDIASTEP65823859_230x230/B2CD/,"Bière belge artisanale aromatisée cassis 3,5% bouteille",LINDEMANS,
70,https://media.auchan.fr/MEDIASTEP92642704_230x230/B2CD/,Bière ambrée 6% bouteille,TERRE DE BIERES,
71,https://media.auchan.fr/MEDIASTEP69765892_230x230/B2CD/,Bière blonde triple 8.2%,DOMINICAINS,
72,https://media.auchan.fr/MEDIASTEP92642702_230x230/B2CD/,Bière blonde 5% bouteille,TERRE DE BIERES,
73,https://media.auchan.fr/MEDIASTEP106866725_230x230/B2CD/,Kwak Coffret bière blonde belge 8% bouteilles 4x33cl,KWAK,
74,https://media.auchan.fr/MEDIASTEP58889082_230x230/B2CD/,Bière blonde de caractère 9%,LA BÊTE,
75,https://media.auchan.fr/MEDIASTEP140426101_230x230/B2CD/,Scotch whisky écossais single malt IPA 43%,GLENFIDDICH,
76,https://media.auchan.fr/MEDIASTEP85730603_230x230/B2CD/,"Bière Belge d'Abbaye ambrée 6,6%",LEFFE,
77,https://media.auchan.fr/MEDIASTEP134398739_230x230/B2CD/,"Bière blonde East IPA 6,9% bouteille",BROOKLYN,
78,https://media.auchan.fr/MEDIASTEP62732831_230x230/B2CD/,Bière rouge belge 8%,KASTEEL,
79,https://media.auchan.fr/MEDIASTEP166534762_230x230/B2CD/,Bière blonde Héritage houblons aromatiques 7%,3 MONTS,
80,https://media.auchan.fr/MEDIASTEP57431506_230x230/B2CD/,"Bière blonde Nectar aromatisée miel 5,5% bouteilles",LEFFE,
81,https://media.auchan.fr/MEDIASTEP57431800_230x230/B2CD/,Bière ambrée 7.2% bouteilles,GOUDALE,
82,https://media.auchan.fr/MEDIASTEP77419426_230x230/B2CD/,"Bière blonde La Pêcheresse artisanale 2,5% bouteille",LINDEMANS,
83,https://media.auchan.fr/MEDIASTEP69558515_230x230/B2CD/,Bière blonde Quadrupel 9   9.2%,DOMINICAINS,
84,https://media.auchan.fr/MEDIASTEP133373805_230x230/B2CD/,Bière Punk IPA 5.4%,BREWDOG,
85,https://media.auchan.fr/MEDIASTEP82317780_230x230/B2CD/,"Bière blonde triple 8,5%",LEFFE,
86,https://media.auchan.fr/MEDIASTEP139201669_230x230/B2CD/,Bière blonde La solidaire haute fermentation 8%,CASTELAIN,
87,https://media.auchan.fr/MEDIASTEP154988470_230x230/B2CD/,Bière artisanale ambrée 6% bio bouteille,MASCARET,
88,https://media.auchan.fr/MEDIASTEP74085138_230x230/B2CD/,"Bière blanche aromatisée à la violette 2,8% bouteille",BELZEBUTH,
89,https://media.auchan.fr/MEDIASTEP134398738_230x230/B2CD/,Bière blonde Defender IPA 5.5% bouteilles,BROOKLYN,
90,https://media.auchan.fr/MEDIASTEP142689462_230x230/B2CD/,"Boisson pétillante alcoolisée 4,5% citron gingembre pamplemousse boîte",BEWIZ,
91,https://media.auchan.fr/MEDIASTEP61277851_230x230/B2CD/,"Bière blonde à l'ancienne 7,2% bouteilles",G DE GOUDALE,
92,https://media.auchan.fr/MEDIASTEP66852726_230x230/B2CD/,"Bière blonde à l'ancienne 7,2%",LA GOUDALE,
93,https://media.auchan.fr/MEDIASTEP80699102_230x230/B2CD/,"Bière blonde La G grand cru 7,9%",LA GOUDALE,
94,https://media.auchan.fr/MEDIASTEP65257448_230x230/B2CD/,"Bière blonde triple 8,4%",KARMELIET,
95,https://media.auchan.fr/MEDIASTEP92642705_230x230/B2CD/,"Bière blanche 4,5% bouteille",TERRE DE BIERES,
96,https://media.auchan.fr/MEDIASTEP162667650_230x230/B2CD/,"Bière blonde bio triple Sylvanus 8,3%",BRASSERIE MONT BLANC,
97,https://media.auchan.fr/MEDIASTEP157684804_230x230/B2CD/,Bière ambrée 8.4%,KWAK,
98,https://media.auchan.fr/MEDIASTEP77419432_230x230/B2CD/,"Bière belge artisanale Kriek 3,5% bouteille",LINDEMANS,
99,https://media.auchan.fr/MEDIASTEP142689515_230x230/B2CD/,"Boisson pétillante alcoolisée 4,5% framboise hibiscus citron vert boîte",BEWIZ,
100,https://media.auchan.fr/MEDIASTEP85570071_230x230/B2CD/,"Bière blonde triple 8,5% bouteille",LUPULUS,
101,https://media.auchan.fr/MEDIASTEP139198606_230x230/B2CD/,"Bière blanche Weissbier  5,3% bouteille",ERDINGER,
102,https://media.auchan.fr/MEDIASTEP69765833_230x230/B2CD/,Bière blonde belge triple 11%,KASTEEL,
103,https://media.auchan.fr/MEDIASTEP158713491_230x230/B2CD/,Bière origine aromatisée au jus de cerise 7.5% bouteilles,SLASH,
104,https://media.auchan.fr/MEDIASTEP57977810_230x230/B2CD/,"Bière blonde artisanale 7,5%",LA CHOULETTE,
105,https://media.auchan.fr/MEDIASTEP72100062_230x230/B2CD/,"Bière belge artisanale lambic Kriek 3,5%",LINDEMANS,
106,https://media.auchan.fr/MEDIASTEP67410464_230x230/B2CD/,"Bière blonde bio sans gluten 4,5% bouteilles",JADE,
107,https://media.auchan.fr/MEDIASTEP66806484_230x230/B2CD/,"Bière ambrée à l'ancienne 7,2%",LA GOUDALE,
108,https://media.auchan.fr/MEDIASTEP92642703_230x230/B2CD/,Bière rousse 5% bouteille,TERRE DE BIERES,
109,https://media.auchan.fr/MEDIASTEP106866723_230x230/B2CD/,"Coffret bière blonde 8,4%",KARMELIET,
110,https://media.auchan.fr/MEDIASTEP73797918_230x230/B2CD/,"Bière blonde des Flandres 8,5% bouteilles",3 MONTS,
111,https://media.auchan.fr/MEDIASTEP138310398_230x230/B2CD/,Bière triple hop 9.5% bouteille,DUVEL,
112,https://media.auchan.fr/MEDIASTEP162667649_230x230/B2CD/,"Bière blonde bio Sylvanus 6,9%",BRASSERIE MONT BLANC,
113,https://media.auchan.fr/MEDIASTEP137799362_230x230/B2CD/,"Bière lambic Faro aromatisée 4,5% bouteille",LINDEMANS,
114,https://media.auchan.fr/MEDIASTEP59250389_230x230/B2CD/,Bière de Noël ambrée 6.6%,LEFFE,
115,https://media.auchan.fr/MEDIASTEP163330347_230x230/B2CD/,Bière Belge blonde 8.5%,VICTORIA,
116,https://media.auchan.fr/MEDIASTEP161565949_230x230/B2CD/,Bière blonde belge Tremens 8.5%,DELIRIUM,
117,https://media.auchan.fr/MEDIASTEP65706625_230x230/B2CD/,"Bière blonde bio 4,5% bouteilles",JADE,
118,https://media.auchan.fr/MEDIASTEP157103263_230x230/B2CD/,"Bière Punk IPA 5,4% bouteille",BREWDOG,
119,https://media.auchan.fr/MEDIASTEP134356763_230x230/B2CD/,"Bière blonde triple 8,4% bouteilles",KARMELIET,
120,https://media.auchan.fr/MEDIASTEP84341413_230x230/B2CD/,Bière Grande Réserve triple 9.5% bouteille,3 MONTS,
121,https://media.auchan.fr/MEDIASTEP106850473_230x230/B2CD/,"Coffret hiver bière blonde et fruits rouges 8,5% bouteilles",RINCE COCHON,
122,https://media.auchan.fr/MEDIASTEP161958776_230x230/B2CD/,"Bière blonde 6,7%",GRIMBERGEN,
123,https://media.auchan.fr/MEDIASTEP105961235_230x230/B2CD/,Bière blonde de caractère 9%,LA CERVOISE DES ANCETRES,
124,https://media.auchan.fr/MEDIASTEP161672310_230x230/B2CD/,Bière blonde 3 grains 7%,L'ANGELUS,
125,https://media.auchan.fr/MEDIASTEP137800386_230x230/B2CD/,"Bière brune Stout bio 5,50% bouteille",VEZELAY,
126,https://media.auchan.fr/MEDIASTEP66053853_230x230/B2CD/,"Bière ambrée à l'ancienne 7,2% bouteille",LA GOUDALE,
127,https://media.auchan.fr/MEDIASTEP106866700_230x230/B2CD/,"Bière blonde coffret dégustation 7,2% bouteille",LA GOUDALE,
128,https://media.auchan.fr/MEDIASTEP106850753_230x230/B2CD/,Bière blonde triple Belge 10% bouteille,MAREDSOUS,
129,https://media.auchan.fr/MEDIASTEP105961232_230x230/B2CD/,"Bière rouge 7,5%",RINCE COCHON,
130,https://media.auchan.fr/MEDIASTEP138002731_230x230/B2CD/,Bière blonde tradition d'alsace 6% verre consigné,FISCHER,
131,https://media.auchan.fr/MEDIASTEP64271957_230x230/B2CD/,Bière black 6% bouteilles,LICORNE,
132,https://media.auchan.fr/MEDIASTEP72430284_230x230/B2CD/,"Bière blonde 8,5%",RINCE COCHON,
133,https://media.auchan.fr/MEDIASTEP57431930_230x230/B2CD/,Bière blonde triple d'abbaye 10%,PAIX DIEU,
134,https://media.auchan.fr/MEDIASTEP158713815_230x230/B2CD/,Bière blonde bio 4.7% boîte,LICORNE,
135,https://media.auchan.fr/MEDIASTEP105961233_230x230/B2CD/,Bière blonde forte 9% bouteille,BIERE DU CORBEAU,
136,https://media.auchan.fr/MEDIASTEP105961528_230x230/B2CD/,Bière blonde 7% boîte,CUVEE DES TROLLS,
137,https://media.auchan.fr/MEDIASTEP154899072_230x230/B2CD/,Bière blonde Cinq Cents 8%,CHIMAY,
138,https://media.auchan.fr/MEDIASTEP161677985_230x230/B2CD/,Bière blonde triple 7%,L'ANGELUS,
139,https://media.auchan.fr/MEDIASTEP154988518_230x230/B2CD/,"Bière blonde bio lager artisanale 4,5% bouteille",MASCARET,
140,https://media.auchan.fr/MEDIASTEP135968663_230x230/B2CD/,"Bière blonde des Flandres 6,5%",LA FIERE,
141,https://media.auchan.fr/MEDIASTEP80100172_230x230/B2CD/,"Bière blonde Elsass 5,5% bouteilles",LICORNE,
